"dile-01-01","Mora-what now?","Salmor, the Conscience up there in the cool fez, is a Morathologist.  He will be our guide on our Morathology career.","By answering Dilemmas or helping the various Consciences you'll meet here, you can win Ethicals (ε) and other surprises.  You've shown that you'd like to take some responsibilty for your actions just by downloading MoraLife.  Collect your reward!","Welcome!  Morathology is the practice of answering dilemmas in order to build a moral profile.  Please tap the right arrow to start your adventure!","mora-responsibility","mora-responsibility","ethical10","ethical10","sur-stlouis","char-salmor",80,100,1
"dile-01-02","Goodwill Bounty Hunting","Imagine that you are a bounty hunter and have captured an alleged murderer, whom you now believe to be innocent.","What would you do?  Would you show compassion and release the prisoner?","Or, would you stay confident with your bondsman and return the accused?  You must now select between these two choices.","mora-compassion","mora-confidence","ethical5","ethical5","sur-park","char-villianmale",40,40,1
"dile-01-03","Ex Moralitas, Scientia","Throughout Morathology, you'll be asked to consider different scenarios or complete tasks.  Some will be seemingly benign, while others might require a bit more thought.","While there are more than two possible answers to each scenario, just pick the one that you agree with the most.  There are no wrong answers.","Salmor will put you into all kinds of different scenarios, both contemporary and fantastic.  The idea for all of this is that from morality comes knowledge.","mora-awareness","mora-awareness","ethical","ethical10","sur-city","char-salmor",60,60,1
"dile-01-04","Urinary Tact","You take a potty break from work.  There are three urinals, and your coworker is using the far right one.  Man-rules dictate that you pick the far left, but it appears broken.","Gracefully take the far left one, and just block out the unpleasant smell.","Acknowledge your need for a clean commode, take the center one and avoid eye-contact.","mora-grace","mora-cleanliness","asse-clipboard","asse-necktiepink","sur-office","char-coworkermale",50,50,1
"dile-01-05","Wealthcare","You can win various Accessories, Features and Figures from your Morathology adventures as well as Ethicals.","If you'd like to outfit me with the new gear, go to the Greenroom and pick what you'd like to use.  Is it cold in here?","It looks like Salmor just rewarded you! You can check out your Accessories in the Greenroom.","mora-introspection","mora-introspection","ethical","ethical5","sur-house","char-salmor",80,80,1
"dile-01-06","Killer Queen","Let's see how you handle a more fanciful situation. You are a lord over a small territory.  The Queen asks for you to arrest those peasants that are delinquent with their taxes.","Allow those subjects able to pay some of their taxes a deadline, and trust in their word.","Arrest everyone, upholding your duty even though you won't have a lot pleasant peasants.","mora-trust","mora-loyalty","figu-abraham","figu-plato","sur-makebelievetree","char-queen",45,70,1
"dile-01-07","Who Dat?","Sometimes, we may need inspiration in order to do the right thing.  Studying up on these Figures can help with that.","You can review your roster by going to your Collection and tapping on Figures.","Once in a while, Salmor will reward you with a morally significant Figure.  They'll help you out in Morathology later.","mora-cooperation","mora-cooperation","ethical","ethical5","sur-arena","char-salmor",90,90,1
"dile-01-08","Ranks for the Memories","As your Conscience, I can gain Morathology Ranks with experience.  Since you've gotten this far, Salmor thinks that you've shown great Curiosity.","Go to the Journal and save an entry for Curiosity.  Salmor thinks that downloading this App covers that.  If you already have a Curiosity Journal entry, then you're solid.","Have you entered a Choice in your Journal, yet?  If not, lets use your Journal to earn your first Morathology Rank!  Earn a badge for your Secondary Slot!","mora-curiosity","mora-curiosity","asse-rank1","asse-rank1","sur-nightcloudy","char-salmor",80,100,1
"dile-01-09","Morathology Rank – Monad","Congratulations on your first Rank!  You can go to the Greenroom now, select Accessories, Secondary and equip your Monad Badge.","Do you flaunt that badge having earned it?","Or, do you refrain from decoration thinking that you don't need bars on your shoulder to prove yourself.","mora-vanity","mora-modesty","ethical25","ethical25","sur-day","char-salmor",70,80,1
"dile-01-10","Elf-Centered","Your squire has left the militia to fight trolls for hire, and you admonish him for it.  He becomes a wealthy elf for his successful campaigns.","Envy his success, but continue your duties.","Resign your post to seek your fortune.","mora-envy","mora-hypocrisy","ethical30","ethical30","sur-makebelieve","char-elf",80,80,1
